Date,Building,Occupancy,Temperature_C,Electricity_kWh,Water_Liters,Waste_kg,Paper_kg
2026-01-19,Canteen,261,24.8,455.6,9452.1,50.2,8.8
2026-01-19,Hostel,390,28.5,600.0,12796.3,58.9,10.2
2026-01-20,Admin Block,218,27.5,386.3,8543.9,30.4,6.2
2026-01-20,Engineering Block,361,28.2,567.0,10061.3,45.8,9.2
2026-01-20,Computer Lab,321,25.9,551.0,12634.3,59.5,11.3
2026-01-20,Library,171,28.8,364.5,5980.6,24.2,6.7
2026-01-20,Canteen,278,31.1,438.7,9766.1,35.3,8.2
2026-01-20,Hostel,369,25.1,481.0,12730.7,51.1,9.6
2026-01-21,Admin Block,230,32.6,266.0,6657.2,28.6,8.5
2026-01-21,Engineering Block,360,31.5,484.4,10792.3,51.5,10.2
2026-01-21,Computer Lab,422,28.4,613.4,13372.8,60.5,12.6
2026-01-21,Library,151,21.8,349.1,7287.0,23.2,3.8
2026-01-21,Canteen,289,32.0,523.4,9700.6,38.6,7.2
2026-01-21,Hostel,377,28.0,515.8,13656.7,61.0,12.2
2026-01-22,Admin Block,201,31.7,394.2,7772.7,37.6,7.5
2026-01-22,Engineering Block,376,31.0,549.3,10440.7,50.3,9.5
2026-01-22,Computer Lab,358,34.4,699.7,13833.5,56.6,13.2
2026-01-22,Library,208,29.6,270.9,7058.0,29.5,4.4
2026-01-22,Canteen,284,28.7,511.8,9921.2,40.2,8.5
2026-01-22,Hostel,378,28.4,514.2,12231.8,49.6,9.4
2026-01-23,Admin Block,251,30.3,280.1,7655.3,37.8,8.0
2026-01-23,Engineering Block,386,29.1,489.3,10945.6,51.7,10.6
2026-01-23,Computer Lab,448,32.5,609.3,12591.3,56.3,11.9
2026-01-23,Library,200,27.2,323.1,6432.4,26.2,6.4
2026-01-23,Canteen,271,29.8,447.1,8534.4,37.6,10.0
2026-01-23,Hostel,336,22.2,467.2,12138.9,52.0,10.7
2026-01-24,Admin Block,171,20.4,205.9,5433.9,14.0,3.3
2026-01-24,Engineering Block,166,26.1,271.3,7103.9,34.7,5.2
2026-01-24,Computer Lab,288,29.1,417.2,7517.4,33.4,6.8
2026-01-24,Library,225,31.7,158.8,4922.8,17.2,2.7
2026-01-24,Canteen,189,29.1,256.8,5310.1,24.4,5.0
2026-01-24,Hostel,139,31.1,280.2,5499.5,27.1,6.1
2026-01-25,Admin Block,104,31.7,151.2,3819.5,14.8,3.7
2026-01-25,Engineering Block,202,25.8,317.5,6397.0,18.8,3.2
2026-01-25,Computer Lab,221,28.3,330.8,7224.8,32.1,7.5
2026-01-25,Library,75,25.2,118.7,3730.8,20.7,2.8
2026-01-25,Canteen,69,23.5,192.4,4338.5,18.0,4.6
2026-01-25,Hostel,196,32.4,298.5,6161.5,31.0,4.1
2026-01-26,Admin Block,247,29.3,350.4,8747.4,30.4,9.2
2026-01-26,Engineering Block,343,24.9,516.1,10735.4,45.7,10.6
2026-01-26,Computer Lab,422,27.0,640.4,14022.4,63.5,12.3
2026-01-26,Library,255,23.0,289.7,6471.4,30.9,5.3
2026-01-26,Canteen,280,35.0,445.4,9589.0,39.0,8.3
2026-01-26,Hostel,377,30.4,622.3,13395.8,54.3,11.6
2026-01-27,Admin Block,193,28.7,397.3,8007.9,32.8,7.8
2026-01-27,Engineering Block,368,32.8,553.3,11328.8,51.2,6.6
2026-01-27,Computer Lab,416,17.3,511.4,13533.6,59.0,10.2
2026-01-27,Library,183,33.4,311.6,8132.9,28.6,6.5
2026-01-27,Canteen,342,29.4,388.3,9558.7,41.4,6.6
2026-01-27,Hostel,368,26.6,598.2,12302.5,51.4,10.7
2026-01-28,Admin Block,241,31.0,318.0,7008.0,38.0,6.3
2026-01-28,Engineering Block,301,30.4,552.8,10230.0,49.1,11.0
2026-01-28,Computer Lab,416,31.0,546.8,13455.2,55.5,11.0
2026-01-28,Library,238,33.7,415.2,7804.6,29.5,6.4
2026-01-28,Canteen,312,29.4,439.3,10015.4,40.5,7.4
2026-01-28,Hostel,362,31.0,572.1,12471.1,55.6,10.4
2026-01-29,Admin Block,260,30.2,304.6,8717.5,31.2,4.8
2026-01-29,Engineering Block,314,25.7,517.8,11112.0,46.8,10.9
2026-01-29,Computer Lab,414,30.0,624.9,13630.5,47.4,11.2
2026-01-29,Library,131,29.1,318.1,7094.6,32.6,6.2
2026-01-29,Canteen,268,30.6,413.8,9259.1,44.1,7.6
2026-01-29,Hostel,405,31.2,529.7,13098.0,56.8,11.0
2026-01-30,Admin Block,207,26.3,322.4,7867.7,27.9,7.3
2026-01-30,Engineering Block,307,28.3,529.5,12844.3,42.0,11.9
2026-01-30,Computer Lab,408,30.3,612.9,13489.1,56.0,13.4
2026-01-30,Library,192,32.6,301.6,6680.8,24.0,6.5
2026-01-30,Canteen,336,28.8,422.4,8875.5,40.4,6.3
2026-01-30,Hostel,345,29.7,626.8,13991.0,49.5,12.6
2026-01-31,Admin Block,137,28.5,219.8,4289.2,18.8,3.2
2026-01-31,Engineering Block,144,24.1,311.5,5886.1,23.2,5.6
2026-01-31,Computer Lab,249,29.6,310.5,8180.1,38.9,7.0
2026-01-31,Library,148,33.0,246.1,4307.2,19.6,3.9
2026-01-31,Canteen,118,31.2,190.6,4429.5,27.0,5.5
2026-01-31,Hostel,259,28.1,262.0,6880.7,30.9,6.1
2026-02-01,Admin Block,168,27.8,213.7,3761.4,21.1,3.7
2026-02-01,Engineering Block,166,28.2,285.1,6000.4,34.4,5.5
2026-02-01,Computer Lab,213,22.3,283.7,7032.0,27.8,8.1
2026-02-01,Library,108,33.1,198.3,3732.2,15.5,3.3
2026-02-01,Canteen,217,21.6,139.8,5087.9,23.6,5.4
2026-02-01,Hostel,223,27.8,358.7,7526.6,30.3,7.1
2026-02-02,Admin Block,243,27.2,381.1,7766.9,33.1,8.5
2026-02-02,Engineering Block,265,24.5,459.6,10808.9,46.0,8.3
2026-02-02,Computer Lab,368,26.2,703.8,14171.1,53.8,11.2
2026-02-02,Library,167,22.9,298.7,5946.4,27.8,4.1
2026-02-02,Canteen,259,29.5,450.2,9486.4,33.5,9.3
2026-02-02,Hostel,348,31.0,571.5,11285.3,50.8,11.3
2026-02-03,Admin Block,255,28.5,423.2,8409.9,32.2,7.7
2026-02-03,Engineering Block,418,35.3,493.8,11207.8,57.6,8.9
2026-02-03,Computer Lab,356,27.4,616.3,12873.4,52.5,10.8
2026-02-03,Library,183,26.2,410.9,6868.4,32.6,5.4
2026-02-03,Canteen,279,26.7,304.6,8419.3,31.8,5.6
2026-02-03,Hostel,335,33.2,577.7,12953.9,53.7,11.8
2026-02-04,Admin Block,202,30.7,394.7,7115.2,34.6,7.4
2026-02-04,Engineering Block,331,25.4,461.1,11431.2,50.2,9.2
2026-02-04,Computer Lab,403,30.8,637.1,14183.7,62.3,10.4
2026-02-04,Library,266,27.3,359.1,7134.2,28.8,3.8
2026-02-04,Canteen,279,24.0,461.5,10300.9,36.4,8.6
2026-02-04,Hostel,351,27.0,592.9,12170.0,60.1,10.3
2026-02-05,Admin Block,268,29.3,392.9,7529.3,33.5,6.6
2026-02-05,Engineering Block,321,31.1,563.6,11710.8,55.4,11.9
2026-02-05,Computer Lab,389,30.2,579.1,13120.2,53.5,13.6
2026-02-05,Library,220,28.3,369.3,5449.1,20.4,7.0
2026-02-05,Canteen,288,29.8,375.1,9344.9,49.2,9.2
2026-02-05,Hostel,382,27.6,542.3,10966.0,54.2,11.9
2026-02-06,Admin Block,178,26.9,296.6,6742.5,31.7,4.2
2026-02-06,Engineering Block,372,31.4,524.1,9967.5,45.3,11.6
2026-02-06,Computer Lab,305,27.9,546.0,13208.0,51.1,12.1
2026-02-06,Library,227,34.9,329.5,7139.4,23.0,7.4
2026-02-06,Canteen,259,27.2,424.7,8199.1,40.5,9.4
2026-02-06,Hostel,387,23.9,545.4,12857.3,44.7,9.6
2026-02-07,Admin Block,159,29.9,223.8,5567.7,20.9,4.5
2026-02-07,Engineering Block,287,28.3,257.8,7059.1,31.4,4.9
2026-02-07,Computer Lab,185,36.4,378.6,6587.0,34.3,6.3
2026-02-07,Library,105,30.8,129.4,3922.2,24.4,3.9
2026-02-07,Canteen,144,27.4,219.8,4910.9,20.0,5.6
2026-02-07,Hostel,146,31.8,309.8,6717.0,22.5,7.6
2026-02-08,Admin Block,172,32.1,144.8,4962.9,21.0,1.8
2026-02-08,Engineering Block,192,30.2,325.4,6421.2,28.4,7.3
2026-02-08,Computer Lab,264,19.8,309.7,7351.0,24.3,6.5
2026-02-08,Library,158,25.5,184.1,3362.7,14.1,5.1
2026-02-08,Canteen,138,30.5,164.9,6256.5,24.3,4.3
2026-02-08,Hostel,227,24.5,356.3,6666.4,28.7,5.4
2026-02-09,Admin Block,213,31.2,375.2,7968.6,32.3,7.4
2026-02-09,Engineering Block,336,36.1,481.3,12219.6,55.1,9.1
2026-02-09,Computer Lab,481,32.2,657.9,13583.2,57.5,11.4
2026-02-09,Library,221,33.5,341.9,6272.6,33.2,7.1
2026-02-09,Canteen,308,31.4,428.2,8856.2,36.8,6.3
2026-02-09,Hostel,385,28.7,544.2,10443.8,47.5,12.2
2026-02-10,Admin Block,210,30.2,297.6,8465.2,31.6,7.1
2026-02-10,Engineering Block,432,33.9,530.4,11494.4,49.8,10.7
2026-02-10,Computer Lab,399,27.7,664.5,13080.8,66.8,11.7
2026-02-10,Library,270,30.1,365.2,6639.0,26.9,6.6
2026-02-10,Canteen,320,29.1,374.5,8635.8,34.6,6.1
2026-02-10,Hostel,380,32.6,577.0,10870.7,52.1,10.7
2026-02-11,Admin Block,307,24.3,324.4,9123.8,36.7,7.4
2026-02-11,Engineering Block,355,30.1,565.8,10968.8,53.3,8.5
2026-02-11,Computer Lab,414,29.6,577.4,13215.3,54.0,10.3
2026-02-11,Library,195,25.5,320.3,5987.4,32.1,4.6
2026-02-11,Canteen,266,27.0,484.6,9464.7,38.7,8.8
2026-02-11,Hostel,303,28.9,654.5,12041.0,51.4,11.5
2026-02-12,Admin Block,265,22.6,266.3,7941.7,30.4,8.3
2026-02-12,Engineering Block,339,22.8,455.9,9627.7,47.9,9.9
2026-02-12,Computer Lab,388,32.5,669.2,12989.2,46.6,12.4
2026-02-12,Library,227,30.0,365.7,6137.9,38.7,4.8
2026-02-12,Canteen,312,23.6,376.1,10465.6,39.6,9.3
2026-02-12,Hostel,385,28.7,625.3,12211.2,45.1,9.9
2026-02-13,Admin Block,253,30.3,290.0,7274.2,30.7,6.3
2026-02-13,Engineering Block,302,27.0,487.2,11731.5,51.7,10.0
2026-02-13,Computer Lab,389,29.4,567.7,12359.6,52.0,10.9
2026-02-13,Library,167,29.5,352.6,5563.4,28.3,5.7
2026-02-13,Canteen,297,29.0,366.6,8584.4,40.6,9.5
2026-02-13,Hostel,299,30.1,622.4,11835.5,53.5,10.0
2026-02-14,Admin Block,124,23.8,82.6,4796.8,13.5,3.2
2026-02-14,Engineering Block,144,24.5,274.3,5591.8,27.6,6.1
2026-02-14,Computer Lab,232,29.8,411.7,6604.1,31.1,7.8
2026-02-14,Library,158,24.5,153.1,4840.8,19.4,3.5
2026-02-14,Canteen,149,27.8,252.7,4937.0,21.7,4.6
2026-02-14,Hostel,183,30.7,454.1,5502.0,30.0,5.1
2026-02-15,Admin Block,148,29.1,236.7,5068.1,19.4,5.1
2026-02-15,Engineering Block,110,34.1,330.9,6596.6,19.5,4.6
2026-02-15,Computer Lab,226,28.9,840.72,17540.38,41.940000000000005,10.639999999999999
2026-02-15,Library,114,28.3,112.5,4065.0,5.2,4.1
2026-02-15,Canteen,105,29.2,239.2,5641.2,20.0,3.7
2026-02-15,Hostel,189,33.1,355.5,6436.3,27.6,4.1
2026-02-16,Admin Block,247,23.4,375.8,7798.6,43.9,5.4
2026-02-16,Engineering Block,347,34.8,600.9,11002.5,50.2,10.1
2026-02-16,Computer Lab,412,26.8,591.3,12181.3,57.4,12.2
2026-02-16,Library,200,23.8,348.5,6996.9,25.7,5.7
2026-02-16,Canteen,233,25.7,396.2,9883.5,35.9,9.0
2026-02-16,Hostel,358,29.8,561.4,12797.5,50.0,9.0
2026-02-17,Admin Block,185,27.3,293.8,7671.6,29.5,9.6
2026-02-17,Engineering Block,290,29.7,478.7,10849.3,48.4,7.3
2026-02-17,Computer Lab,411,35.1,603.9,13383.9,61.4,11.4
2026-02-17,Library,187,21.7,332.8,6621.4,24.1,6.2
2026-02-17,Canteen,265,27.3,453.3,8375.1,44.3,6.6
2026-02-17,Hostel,353,35.2,637.4,12268.4,48.1,10.2
2026-02-18,Admin Block,236,29.1,352.3,7640.0,31.9,5.0
2026-02-18,Engineering Block,332,31.9,475.6,11256.8,45.1,10.3
2026-02-18,Computer Lab,389,33.7,642.2,12252.3,59.2,10.7
2026-02-18,Library,187,30.0,299.4,7275.4,25.2,5.3
2026-02-18,Canteen,263,27.2,475.2,9643.7,47.3,11.0
2026-02-18,Hostel,340,29.2,512.8,11634.6,49.2,9.6
2026-02-19,Admin Block,197,28.5,299.5,8012.4,27.8,10.1
2026-02-19,Engineering Block,335,29.2,469.4,12504.0,53.9,10.5
2026-02-19,Computer Lab,355,29.7,555.0,13885.5,59.0,11.7
2026-02-19,Library,122,25.9,338.1,7158.4,32.0,4.1
2026-02-19,Canteen,296,32.2,368.6,9394.9,41.6,7.9
2026-02-19,Hostel,312,28.0,546.8,11903.8,48.8,10.3
2026-02-20,Admin Block,232,30.4,347.2,7373.7,33.2,4.4
2026-02-20,Engineering Block,367,29.0,528.8,12179.5,40.9,7.8
2026-02-20,Computer Lab,412,29.0,610.7,12919.6,59.8,12.7
2026-02-20,Library,224,28.2,220.4,7380.0,35.1,6.8
2026-02-20,Canteen,255,31.2,478.4,10208.2,35.4,8.0
2026-02-20,Hostel,403,29.2,515.4,12724.5,56.2,11.0
2026-02-21,Admin Block,136,28.2,265.8,3658.6,15.6,3.7
2026-02-21,Engineering Block,223,24.2,223.2,5136.5,28.0,4.2
2026-02-21,Computer Lab,208,31.1,316.4,7328.3,29.4,7.2
2026-02-21,Library,131,26.8,165.9,4501.4,18.2,1.6
2026-02-21,Canteen,180,25.5,295.2,5921.7,24.0,4.7
2026-02-21,Hostel,200,31.2,308.1,6895.1,32.8,5.3
2026-02-22,Admin Block,107,25.2,140.9,2910.5,20.8,5.9
2026-02-22,Engineering Block,242,23.8,314.8,7480.4,26.3,5.7
2026-02-22,Computer Lab,151,29.9,293.2,7022.8,22.3,7.0
2026-02-22,Library,150,26.5,121.3,2516.6,15.8,2.6
2026-02-22,Canteen,103,30.4,228.6,4171.8,18.2,5.8
2026-02-22,Hostel,228,28.6,343.5,6127.4,29.8,6.2
2026-02-23,Admin Block,217,30.4,325.8,7896.4,34.9,3.2
2026-02-23,Engineering Block,392,19.2,485.3,12346.5,48.9,8.4
2026-02-23,Computer Lab,364,32.3,528.1,13713.8,55.4,10.2
2026-02-23,Library,187,25.7,345.4,7171.1,20.9,5.5
2026-02-23,Canteen,255,33.1,385.6,10237.7,39.2,6.9
2026-02-23,Hostel,353,26.4,498.5,12266.6,46.8,8.3
2026-02-24,Admin Block,220,23.2,308.2,6989.1,28.6,9.2
2026-02-24,Engineering Block,352,29.8,449.9,11054.9,50.3,8.9
2026-02-24,Computer Lab,434,25.2,576.8,12949.1,58.1,10.9
2026-02-24,Library,198,28.2,282.2,7065.3,30.0,5.9
2026-02-24,Canteen,270,31.5,430.1,9070.6,40.2,10.3
2026-02-24,Hostel,330,31.5,488.6,12231.2,58.8,11.5
2026-02-25,Admin Block,239,27.2,351.1,7511.2,29.4,6.4
2026-02-25,Engineering Block,357,26.5,482.0,10620.8,51.2,10.8
2026-02-25,Computer Lab,411,32.1,617.8,13469.8,58.1,11.5
2026-02-25,Library,189,36.1,322.5,6272.2,30.7,6.3
2026-02-25,Canteen,236,32.6,440.4,8377.9,44.2,9.0
2026-02-25,Hostel,332,34.7,614.6,12093.4,59.0,11.1
2026-02-26,Admin Block,233,26.9,374.8,7954.8,32.9,5.8
2026-02-26,Engineering Block,355,28.8,466.3,10538.3,51.9,7.0
2026-02-26,Computer Lab,410,27.5,656.6,12889.2,59.7,11.1
2026-02-26,Library,211,31.4,305.6,7462.8,24.8,6.4
2026-02-26,Canteen,318,31.1,525.6,9013.8,34.7,7.1
2026-02-26,Hostel,400,30.6,575.2,11710.1,57.0,9.4
2026-02-27,Admin Block,274,38.1,404.3,8229.0,31.6,4.6
2026-02-27,Engineering Block,329,25.5,449.6,12484.5,50.0,10.6
2026-02-27,Computer Lab,392,28.4,644.3,13099.0,58.7,11.4
2026-02-27,Library,196,24.5,215.0,6570.0,29.2,4.5
2026-02-27,Canteen,284,29.2,335.7,8745.2,41.9,8.7
2026-02-27,Hostel,336,29.5,612.8,12625.1,51.5,10.3
2026-02-28,Admin Block,106,30.5,216.1,4503.1,18.1,4.7
2026-02-28,Engineering Block,196,31.5,344.1,5803.1,19.0,7.4
2026-02-28,Computer Lab,230,23.5,291.8,7789.7,30.1,5.8
2026-02-28,Library,163,25.6,133.4,4120.4,19.0,3.9
2026-02-28,Canteen,189,29.6,268.0,5132.5,23.2,4.7
2026-02-28,Hostel,214,31.5,350.8,6840.7,25.6,6.1
2026-03-01,Admin Block,127,29.6,303.5,3858.5,19.9,5.0
2026-03-01,Engineering Block,196,36.5,305.4,6536.7,23.6,5.1
2026-03-01,Computer Lab,230,31.7,361.8,8106.4,30.9,6.0
2026-03-01,Library,209,30.3,153.4,3761.7,14.2,4.4
2026-03-01,Canteen,144,29.4,242.4,5551.5,17.9,3.2
2026-03-01,Hostel,215,30.9,338.7,6290.9,32.3,5.1
2026-03-02,Admin Block,215,26.0,404.1,7966.7,35.1,8.2
2026-03-02,Engineering Block,449,23.5,479.8,11564.5,47.9,8.8
2026-03-02,Computer Lab,392,25.1,604.4,13153.6,58.5,12.2
2026-03-02,Library,229,27.8,409.3,7057.4,21.3,4.8
2026-03-02,Canteen,225,29.1,426.9,8740.5,47.7,8.9
2026-03-02,Hostel,402,26.0,509.5,12473.9,54.3,8.6
2026-03-03,Admin Block,227,29.0,346.3,7086.3,30.2,6.5
2026-03-03,Engineering Block,354,30.9,582.3,11298.7,47.3,10.7
2026-03-03,Computer Lab,424,27.6,633.7,13916.7,62.9,13.8
2026-03-03,Library,177,29.0,318.5,6581.3,25.5,4.2
2026-03-03,Canteen,289,26.5,427.1,8848.9,35.3,8.5
2026-03-03,Hostel,382,30.9,670.0,12530.2,55.2,9.6
2026-03-04,Admin Block,188,34.1,332.3,6741.4,31.5,6.6
2026-03-04,Engineering Block,319,28.0,578.8,10791.1,42.2,11.3
2026-03-04,Computer Lab,420,27.0,524.8,12776.0,56.8,13.0
2026-03-04,Library,171,28.7,347.3,5067.2,32.9,4.6
2026-03-04,Canteen,297,29.8,483.6,9763.1,29.7,7.3
2026-03-04,Hostel,381,28.4,584.4,12858.1,55.8,10.6
2026-03-05,Admin Block,169,27.5,369.5,6616.2,34.1,7.8
2026-03-05,Engineering Block,355,19.2,455.5,12721.0,46.9,7.7
2026-03-05,Computer Lab,446,29.0,652.7,13570.0,59.7,12.1
2026-03-05,Library,232,36.3,387.2,5892.8,31.8,7.4
2026-03-05,Canteen,328,27.6,479.5,10163.0,52.8,7.3
2026-03-05,Hostel,359,28.0,539.4,11656.5,40.0,10.4
2026-03-06,Admin Block,246,27.4,437.5,7718.7,39.0,7.1
2026-03-06,Engineering Block,379,29.9,591.7,11651.4,52.2,10.6
2026-03-06,Computer Lab,392,30.3,708.1,12944.2,58.2,13.1
2026-03-06,Library,247,29.0,210.7,7330.9,20.2,7.8
2026-03-06,Canteen,291,32.2,402.6,8365.9,41.4,8.2
2026-03-06,Hostel,359,29.3,690.6,12777.4,57.2,11.9
2026-03-07,Admin Block,180,28.4,107.5,4341.4,23.0,2.5
